순번,지사,계약종별,접수번호,업무구분,신청방법,접수자구분,이용 편리성,직원 친절도,전반적 만족,사회적 책임,처리 신속도,처리 정확도,업무 개선도,사용 추천도,종합 점수,서술 의견
39,진해지사,농사용(을)저압,5720-20260115-000039,기타단순문의등,사이버지점,한전ON,100,0,100,-,80,-,-,100,96.0,직원분이 매우 친절하셔서 기분 좋았습니다.
40,진주지사,농사용(을)저압,5740-20260115-000040,요금수납관련,전화,한전ON,0,80,20,-,-,90,40,-,58.0,계량기 교체 일정을 사전에 알려주지 않아 불편했습니다.
41,산청지사,농사용(을)저압,C100-20260115-000041,기타단순문의등,전화,서울고객센터,0,100,50,-,-,100,90,-,84.0,업무 처리는 빨랐는데 설명이 조금 부족했습니다.
42,경남본부,주택용전력,7812-20260115-000042,요금수납관련,전화,한전ON,0,60,50,-,30,10,60,-,42.0,정전이 자주 발생하는데 원인 파악을 제대로 해주셨으면 합니다.
43,산청지사,농사용(을)저압,C800-20260115-000043,자동이체,전화,부산고객센터,0,80,50,-,-,100,90,-,80.0,서비스는 괜찮은데 주차 공간이 부족해요.
44,밀양지사,주택용전력,C100-20260115-000044,기타단순문의등,전화,서울고객센터,0,100,100,-,-,90,90,-,96.0,응답없음
45,경남본부,주택용전력,C100-20260115-000045,기타단순문의등,기타,서울고객센터,100,30,100,-,70,80,100,-,80.0,어려운 내용을 쉽게 풀어서 설명해 주셨습니다.
46,마산지사,주택용전력,5690-20260115-000046,정전,전화,기타,0,100,80,-,-,100,100,-,96.0,한전ON 앱이 편리해서 잘 사용하고 있습니다.
47,고성지사,주택용전력,C100-20260115-000047,자동이체,전화,서울고객센터,0,100,50,-,-,40,20,-,52.0,없음
48,경남본부,주택용전력,C100-20260115-000048,자동이체,전화,서울고객센터,0,100,50,-,70,90,70,-,76.0,계량기 교체 일정을 사전에 알려주지 않아 불편했습니다.
49,합천지사,주택용전력,5778-20260115-000049,기타단순문의등,전화,기타,0,70,100,-,-,80,100,-,88.0,특별한 불만 없이 잘 이용하고 있습니다.
50,진주지사,주택용전력,C650-20260115-000050,요금수납관련,전화,전남고객센터,0,90,100,-,-,100,90,-,96.0,서비스는 괜찮은데 주차 공간이 부족해요.
51,마산지사,주택용전력,5690-20260115-000051,자동이체,전화,직원,0,90,90,-,100,100,100,-,96.0,직원분의 전문적인 안내에 감사드립니다.
52,거창지사,주택용전력,C350-20260115-000052,기타단순문의등,전화,경기고객센터,0,10,90,-,-,90,90,-,70.0,친절하게 잘 안내해 주셔서 감사합니다.
53,사천지사,주택용전력,C700-20260115-000053,자동이체,전화,대구고객센터,0,100,100,-,-,90,80,-,92.0,항상 친절하고 빠른 응대 감사드립니다.
54,진주지사,주택용전력,5740-20260115-000054,사용자기본사항변경,기타,직원,80,80,100,-,100,100,90,-,92.0,점심시간에도 운영되면 좋겠습니다.
55,마산지사,주택용전력,5690-20260115-000055,신규/증설,내방,직원,50,100,80,-,100,100,100,-,88.0,응답없음
56,사천지사,일반용(갑)저압,C100-20260115-000056,자동이체,전화,서울고객센터,0,90,100,-,-,90,100,-,96.0,전반적으로 무난했습니다.
57,경남본부,농사용(을)저압,C100-20260115-000057,신규/증설,전화,서울고객센터,0,100,100,-,-,80,100,-,96.0,없음
58,마산지사,일반용(갑)저압,5690-20260115-000058,복지/대가족/수가구등,내방,직원,90,100,90,-,90,90,100,-,94.0,항상 친절하고 빠른 응대 감사드립니다.
59,진해지사,주택용전력,C700-20260115-000059,기타단순문의등,기타,대구고객센터,100,100,80,-,100,90,90,-,94.0,없음
60,경남본부,주택용전력,7812-20260115-000060,정전,전화,직원,0,100,90,-,-,100,80,-,92.0,어려운 상황에서 적극적으로 도와주셨습니다.
61,함안의령지사,주택용전력,C650-20260115-000061,정전,전화,전남고객센터,0,100,20,-,-,100,80,-,76.0,요금 고지서가 너무 늦게 와서 납부일을 놓칠 뻔했습니다.
62,진주지사,주택용전력,C850-20260115-000062,정전,전화,경남고객센터,0,80,90,-,-,90,80,-,84.0,없음
63,사천지사,주택용전력,C100-20260115-000063,기타단순문의등,전화,서울고객센터,0,50,70,-,80,100,90,-,78.0,세금계산서 발급이 빠르고 정확해서 좋았습니다.
64,진주지사,일반용(을)고압A,5740-20260115-000064,사용자기본사항변경,내방,직원,90,40,100,-,100,80,90,-,84.0,친절하긴 했는데 전화 연결이 오래 걸렸어요.
65,산청지사,주택용전력,5783-20260115-000065,자동이체,전화,직원,0,70,100,-,-,90,10,-,68.0,어려운 상황에서 적극적으로 도와주셨습니다.
66,통영지사,주택용전력,5750-20260115-000066,기타단순문의등,전화,직원,0,100,100,-,-,90,80,-,92.0,응답없음
67,하동지사,농사용(갑),5771-20260115-000067,신규/증설,전화,직원,0,40,40,-,-,50,80,-,52.0,굿
68,하동지사,주택용전력,C850-20260115-000068,전기요금문의,전화녹취,경남고객센터,0,100,100,-,-,100,100,-,100.0,업무 처리가 깔끔하고 빨라서 좋았습니다.
69,마산지사,주택용전력,5690-20260115-000069,청구서재발행,전화,직원,0,90,20,-,-,100,50,-,64.0,ARS 메뉴가 너무 복잡해서 원하는 메뉴를 찾기 어렵습니다.
70,함안의령지사,농사용(을)저압,5730-20260115-000070,정전,전화,직원,0,90,100,-,100,90,40,-,84.0,민원 접수 후 바로 연락 주셔서 좋았습니다.
71,진해지사,산업용(갑)II고압A,C500-20260115-000071,기타단순문의등,전화,충북고객센터,0,90,100,-,20,100,40,-,70.0,전반적으로 무난했습니다.
72,통영지사,주택용전력,C100-20260115-000072,정전,전화,서울고객센터,0,90,100,-,-,100,40,-,82.0,서비스는 괜찮은데 주차 공간이 부족해요.
73,산청지사,일반용(갑)저압,5783-20260115-000073,청구서재발행,기타,한전ON,100,100,100,-,90,100,50,-,90.0,보통
74,밀양지사,일반용(갑)저압,C550-20260115-000074,정전,전화,충남고객센터,0,90,10,-,-,100,60,-,64.0,응답없음
75,남해지사,주택용전력,C350-20260115-000075,사용자기본사항변경,전화,경기고객센터,0,70,100,-,100,100,100,-,94.0,세금계산서 발급이 빠르고 정확해서 좋았습니다.
76,경남본부,주택용전력,C350-20260115-000076,자동이체,전화,경기고객센터,0,80,100,-,-,100,100,-,96.0,보통입니다.
77,경남본부,주택용전력,7812-20260115-000077,청구서재발행,전화,직원,0,100,40,-,80,100,30,-,70.0,인터넷으로 신청했는데 확인 전화가 와서 번거로웠어요.
78,밀양지사,일반용(갑)저압,5732-20260115-000078,기타단순문의등,전화,직원,0,100,90,-,90,100,30,-,82.0,친절하긴 했는데 전화 연결이 오래 걸렸어요.
79,경남본부,주택용전력,C650-20260115-000079,자동이체,전화,전남고객센터,0,100,60,-,-,30,80,-,68.0,직원분이 불친절해서 기분이 좋지 않았습니다.
80,고성지사,주택용전력,5713-20260115-000080,사용자기본사항변경,사이버지점,한전ON,80,0,70,-,90,-,-,100,84.0,한전ON 앱이 편리해서 잘 사용하고 있습니다.
81,거제지사,주택용전력,C300-20260115-000081,기타단순문의등,전화녹취,경기북부고객센터,0,90,100,-,30,100,80,-,80.0,검침원분이 항상 친절하세요. 감사합니다.
82,통영지사,주택용전력,C100-20260115-000082,기타단순문의등,전화,서울고객센터,0,30,80,-,100,100,60,-,74.0,고객 입장에서 생각해 주시는 게 느껴졌어요.
83,함안의령지사,일반용(갑)저압,C900-20260115-000083,정전,전화,제주고객센터,0,80,90,-,-,90,100,-,90.0,불편사항을 즉시 해결해 주셔서 만족합니다.
84,통영지사,주택용전력,C100-20260115-000084,자동이체,전화,서울고객센터,0,100,100,-,-,100,20,-,80.0,복잡한 요금 체계를 이해하기 쉽게 설명해 주셨어요.
85,마산지사,일반용(갑)저압,5690-20260115-000085,기타단순문의등,전화,직원,0,80,70,-,-,30,10,-,48.0,직원은 친절했는데 시스템이 복잡한 것 같아요.
86,경남본부,농사용(을)저압,7812-20260115-000086,정전,전화,직원,0,90,90,-,-,90,90,-,90.0,업무 처리가 깔끔하고 빨라서 좋았습니다.
87,밀양지사,주택용전력,C800-20260115-000087,기타단순문의등,전화,부산고객센터,0,100,90,-,10,30,100,-,66.0,보통입니다.
88,진해지사,주택용전력,C700-20260115-000088,기타단순문의등,전화,대구고객센터,0,100,40,-,-,100,100,-,84.0,응답없음
89,밀양지사,농사용(을)저압,5732-20260115-000089,정전,전화,직원,0,80,100,-,-,80,100,-,90.0,휴일인데도 신속하게 대응해 주셔서 감동받았습니다.
90,진해지사,주택용전력,C350-20260115-000090,자동이체,기타,경기고객센터,100,50,100,-,100,100,80,-,88.0,친절하게 잘 안내해 주셔서 감사합니다.
91,거제지사,주택용전력,5768-20260115-000091,사용자기본사항변경,전화,검침사,0,100,90,-,-,90,100,-,96.0,항상 한전 서비스에 만족하고 있습니다.
92,마산지사,산업용(갑)저압,5690-20260115-000092,신규/증설,전화,직원,0,100,10,-,-,60,90,-,64.0,전화 상담 시 배경 소음이 너무 커서 통화가 어려웠습니다.
93,경남본부,주택용전력,7812-20260115-000093,기타단순문의등,전화,직원,0,90,90,-,-,100,100,-,96.0,보통입니다.
94,마산지사,일반용(갑)저압,5690-20260115-000094,기타단순문의등,내방,직원,80,100,90,-,100,80,100,-,92.0,불편사항을 즉시 해결해 주셔서 만족합니다.
95,경남본부,주택용전력,7812-20260115-000095,자동이체,내방,직원,90,80,100,-,100,90,100,-,94.0,응답없음
96,산청지사,주택용전력,5783-20260115-000096,기타단순문의등,사이버지점,한전ON,80,0,70,-,100,-,-,90,84.0,OK
97,함양지사,주택용전력,5782-20260115-000097,사용자기본사항변경,사이버지점,한전ON,40,0,60,-,100,-,-,80,70.0,빠른 처리 감사하지만 ARS 메뉴 개선이 필요해요.
98,하동지사,농사용(을)저압,5771-20260115-000098,사용자기본사항변경,사이버지점,한전ON,90,0,100,-,100,-,-,100,98.0,전기 관련 안전 점검도 꼼꼼히 해주셔서 좋았습니다.
99,경남본부,농사용(을)저압,7812-20260115-000099,자동이체,내방,직원,100,100,100,-,80,30,100,-,84.0,전기요금 관련 문의에 정확히 답변해 주셨어요.
100,합천지사,주택용전력,5778-20260115-000100,기타단순문의등,기타,직원,100,100,90,-,100,100,70,-,94.0,궁금한 사항을 상세하게 설명해 주셔서 좋았어요.
101,마산지사,농사용(갑),C700-20260115-000101,청구서/세금계산서,전화,대구고객센터,0,100,80,-,-,90,100,-,92.0,내방했는데 대기시간 없이 바로 처리해 주셨습니다.
102,거제지사,주택용전력,C650-20260115-000102,사용자기본사항변경,전화,전남고객센터,0,90,100,-,-,100,100,-,98.0,현장 직원분들이 고생 많으십니다. 감사해요.
103,산청지사,일반용(갑)저압,5783-20260115-000103,기타단순문의등,전화,직원,0,100,100,-,-,80,100,-,96.0,불편사항을 즉시 해결해 주셔서 만족합니다.
104,함안의령지사,주택용전력,5730-20260115-000104,복지/대가족/수가구등,전화,직원,0,80,100,-,-,100,50,-,82.0,전기요금 관련 문의에 정확히 답변해 주셨어요.
105,경남본부,일반용(갑)저압,7812-20260115-000105,자동이체,전화,직원,0,90,90,-,-,90,80,-,88.0,응답없음
106,통영지사,주택용전력,5750-20260115-000106,청구서재발행,전화,직원,0,90,90,-,80,100,100,-,92.0,전화 응대가 매우 친절했습니다. 감사해요.
107,경남본부,산업용(갑)II고압A,C300-20260115-000107,사용자기본사항변경,전화,경기북부고객센터,0,30,100,-,-,100,100,-,82.0,복잡한 요금 체계를 이해하기 쉽게 설명해 주셨어요.
108,하동지사,산업용(갑)II고압A,5771-20260115-000108,요금수납관련,전화,직원,0,90,90,-,-,80,60,-,80.0,수고하세요
109,창녕지사,주택용전력,5760-20260115-000109,사용자기본사항변경,기타,직원,90,100,80,-,100,100,100,-,96.0,응답없음
110,밀양지사,주택용전력,5732-20260115-000110,사용자기본사항변경,전화,직원,0,90,100,-,-,80,90,-,90.0,빠르고 정확한 업무처리에 만족합니다.
111,경남본부,주택용전력,C900-20260115-000111,정전,전화,제주고객센터,0,100,10,-,-,100,90,-,76.0,전화했는데 담당자가 자리에 없다고 해서 다시 전화해야 했어요.
112,마산지사,주택용전력,C900-20260115-000112,청구서재발행,전화,제주고객센터,0,100,100,-,-,100,100,-,100.0,전기요금 관련 문의에 정확히 답변해 주셨어요.
113,경남본부,일반용(을)고압A,7812-20260115-000113,기타단순문의등,내방,직원,100,100,30,-,60,80,70,-,74.0,최고!
114,함양지사,주택용전력,C350-20260115-000114,자동이체,FAX,경기고객센터,80,70,90,-,100,100,30,-,78.0,검침원분이 항상 친절하세요. 감사합니다.
115,진해지사,주택용전력,C350-20260115-000115,사용자기본사항변경,전화,경기고객센터,0,100,100,-,100,80,80,-,92.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
116,합천지사,주택용전력,C500-20260115-000116,기타단순문의등,기타,충북고객센터,80,70,100,-,50,90,100,-,82.0,빨랐음
117,밀양지사,주택용전력,5732-20260115-000117,기타단순문의등,전화,한전ON,0,80,90,-,-,90,90,-,88.0,불편사항을 즉시 해결해 주셔서 만족합니다.
118,마산지사,주택용전력,5690-20260115-000118,기타단순문의등,FAX,기타,100,70,80,-,100,70,100,-,86.0,빠른 처리 감사하지만 ARS 메뉴 개선이 필요해요.
119,통영지사,주택용전력,5750-20260115-000119,기타단순문의등,내방,직원,90,100,80,-,40,100,100,-,84.0,굿
120,진주지사,농사용(을)저압,C650-20260115-000120,청구서재발행,기타,전남고객센터,100,80,80,-,90,80,90,-,86.0,직원분이 매우 친절하셔서 기분 좋았습니다.
121,진해지사,주택용전력,5720-20260115-000121,계기업무,내방,직원,100,90,100,-,100,90,90,-,96.0,전반적으로 무난했습니다.
122,경남본부,주택용전력,7812-20260115-000122,요금수납관련,검침PDA(핸디터미널),검침사,70,100,80,-,100,90,100,-,90.0,직원분의 전문적인 안내에 감사드립니다.
123,진해지사,주택용전력,5720-20260115-000123,전기요금문의,내방,직원,100,90,90,-,30,80,80,-,78.0,응답없음
124,밀양지사,주택용전력,C850-20260115-000124,기타단순문의등,전화,경남고객센터,0,80,100,-,-,80,90,-,88.0,검침원분이 항상 친절하세요. 감사합니다.
125,산청지사,가로등(을),C550-20260115-000125,해지/재사용,전화,충남고객센터,0,100,90,-,-,100,30,-,80.0,직원분의 전문적인 안내에 감사드립니다.
126,하동지사,일반용(갑)저압,5771-20260115-000126,기타단순문의등,전화,직원,0,90,100,-,-,70,30,-,72.0,대체적으로 만족합니다만 대기시간이 좀 길었습니다.
127,고성지사,주택용전력,C700-20260115-000127,기타단순문의등,전화,대구고객센터,0,90,90,-,-,90,100,-,92.0,항상 친절하고 빠른 응대 감사드립니다.
128,마산지사,주택용전력,C550-20260115-000128,정전,전화,충남고객센터,0,90,80,-,-,100,100,-,92.0,잘 처리됨
129,밀양지사,농사용(을)저압,C500-20260115-000129,자동이체,전화,충북고객센터,0,80,80,-,-,80,90,-,82.0,응답없음
130,거제지사,주택용전력,5768-20260115-000130,기타단순문의등,사이버지점,한전ON,90,0,100,-,20,-,-,90,76.0,응답없음
131,통영지사,주택용전력,C100-20260115-000131,기타단순문의등,전화,서울고객센터,0,100,100,-,-,80,100,-,96.0,직원분의 전문적인 안내에 감사드립니다.
132,진해지사,주택용전력,C100-20260115-000132,사용자기본사항변경,기타,서울고객센터,100,100,10,-,90,100,100,-,84.0,정전 복구 예상 시간을 알려주지 않아 답답했어요.
133,밀양지사,일반용(갑)저압,C850-20260115-000133,사용자기본사항변경,전화,경남고객센터,0,90,100,-,90,60,30,-,74.0,전반적으로 서비스가 많이 개선된 것 같아요.
134,하동지사,주택용전력,C100-20260115-000134,신규/증설,전화,서울고객센터,0,100,20,-,-,60,100,-,70.0,직원분이 불친절해서 기분이 좋지 않았습니다.
135,밀양지사,일반용(갑)II고압A,C700-20260115-000135,사용자기본사항변경,전화,대구고객센터,0,80,70,-,-,90,80,-,80.0,한전ON 앱이 편리해서 잘 사용하고 있습니다.
136,진주지사,주택용전력,5740-20260115-000136,기타단순문의등,전화,직원,0,90,90,-,100,90,100,-,94.0,직원은 친절했는데 시스템이 복잡한 것 같아요.
137,경남본부,주택용전력,C600-20260115-000137,기타단순문의등,전화,전북고객센터,0,100,80,-,-,10,80,-,68.0,감사합니다
138,밀양지사,주택용전력,5732-20260115-000138,기타단순문의등,전화,직원,0,100,100,-,100,100,70,-,94.0,신속하게 처리해 주셔서 고맙습니다.
139,진주지사,주택용전력,5740-20260115-000139,기타단순문의등,전화,직원,0,100,100,-,100,100,90,-,98.0,친절하게 잘 안내해 주셔서 감사합니다.
140,밀양지사,주택용전력,C200-20260115-000140,사용자기본사항변경,전화,인천고객센터,0,100,80,-,-,90,100,-,92.0,내방했는데 대기시간 없이 바로 처리해 주셨습니다.
141,경남본부,일반용(갑)저압,C500-20260115-000141,자동이체,전화,충북고객센터,0,100,100,-,-,80,20,-,76.0,직원분의 전문적인 안내에 감사드립니다.
142,하동지사,주택용전력,5771-20260115-000142,기타단순문의등,사이버지점,한전ON,80,0,100,-,100,-,-,100,96.0,친절하긴 했는데 전화 연결이 오래 걸렸어요.
143,진주지사,주택용전력,C700-20260115-000143,사용자기본사항변경,전화,대구고객센터,0,90,100,-,60,100,90,-,88.0,한전ON 앱이 편리해서 잘 사용하고 있습니다.
144,마산지사,주택용전력,C100-20260115-000144,정전,전화,서울고객센터,0,100,50,-,-,100,100,-,88.0,전반적으로 무난했습니다.
145,통영지사,농사용(을)저압,5750-20260115-000145,자동이체,전화,직원,0,100,90,-,-,100,80,-,92.0,응답없음
146,거제지사,주택용전력,C800-20260115-000146,기타단순문의등,전화,부산고객센터,0,100,100,-,-,100,70,-,92.0,응답없음
147,경남본부,주택용전력,7812-20260115-000147,기타단순문의등,전화,직원,0,100,80,-,-,90,100,-,92.0,그냥 그렇습니다.
148,남해지사,주택용전력,5747-20260115-000148,정전,사이버지점,한전ON,90,0,100,-,100,-,-,100,98.0,직원분의 전문적인 안내에 감사드립니다.
149,경남본부,주택용전력,7812-20260115-000149,자동이체,사이버지점,한전ON,90,0,80,-,100,-,-,100,92.0,응답없음
150,경남본부,주택용전력,C350-20260115-000150,사용자기본사항변경,전화,경기고객센터,0,100,50,-,-,90,90,-,82.0,없음
151,마산지사,산업용(갑)II고압A,5690-20260115-000151,자동이체,전화,직원,0,100,90,-,-,100,90,-,96.0,항상 친절하고 빠른 응대 감사드립니다.
152,진주지사,주택용전력,C100-20260115-000152,기타단순문의등,전화,서울고객센터,0,80,100,-,90,100,100,-,94.0,자동이체 변경이 간편하게 처리되었습니다.
153,진주지사,농사용(을)저압,C800-20260115-000153,기타단순문의등,전화,부산고객센터,0,80,80,-,100,100,80,-,88.0,검침원분이 항상 친절하세요. 감사합니다.
154,함양지사,주택용전력,C500-20260115-000154,사용자기본사항변경,FAX,충북고객센터,100,90,40,-,80,100,10,-,70.0,수고하세요
155,산청지사,주택용전력,C400-20260115-000155,기타단순문의등,전화,강원고객센터,0,90,100,-,80,100,100,-,94.0,빠르고 정확한 업무처리에 만족합니다.
156,함안의령지사,주택용전력,5730-20260115-000156,기타단순문의등,사이버지점,한전ON,100,0,70,-,80,-,-,100,88.0,전반적으로 무난했습니다.
157,마산지사,주택용전력,5690-20260115-000157,자동이체,전화,직원,0,100,80,-,-,100,80,-,90.0,응답없음
158,진해지사,주택용전력,5720-20260115-000158,자동이체,전화,한전ON,0,20,100,-,90,80,30,-,64.0,친절하게 잘 안내해 주셔서 감사합니다.
159,함안의령지사,주택용전력,5730-20260115-000159,사용자기본사항변경,전화,직원,0,100,30,-,-,50,100,-,70.0,직원분이 불친절해서 기분이 좋지 않았습니다.
160,함양지사,주택용전력,C200-20260115-000160,요금수납관련,전화,인천고객센터,0,80,90,-,-,70,80,-,80.0,현장 직원분들이 고생 많으십니다. 감사해요.
161,창녕지사,주택용전력,C100-20260115-000161,사용자기본사항변경,전화,서울고객센터,0,90,80,-,-,80,40,-,72.0,만족
162,하동지사,일반용(갑)저압,C650-20260115-000162,전기요금문의,전화,전남고객센터,0,90,100,-,100,100,70,-,92.0,사이버지점 이용이 편리해서 만족합니다.
163,하동지사,주택용전력,5771-20260115-000163,기타단순문의등,사이버지점,한전ON,90,0,80,-,80,-,-,100,88.0,응답없음
164,거창지사,주택용전력,5770-20260115-000164,요금수납관련,전화,직원,0,90,80,-,-,90,80,-,84.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
165,진주지사,일반용(갑)저압,C800-20260115-000165,정전,전화,부산고객센터,0,70,100,-,-,100,80,-,88.0,궁금한 사항을 상세하게 설명해 주셔서 좋았어요.
166,남해지사,주택용전력,C800-20260115-000166,요금수납관련,전화,부산고객센터,0,90,100,-,-,90,90,-,92.0,업무 처리는 빨랐는데 설명이 조금 부족했습니다.
167,밀양지사,주택용전력,5732-20260115-000167,요금수납관련,전화,직원,0,100,80,-,-,100,70,-,88.0,대체적으로 만족합니다만 대기시간이 좀 길었습니다.
168,합천지사,주택용전력,C700-20260115-000168,자동이체,기타,대구고객센터,70,10,40,-,90,100,90,-,66.0,괜찮음
169,경남본부,농사용(을)저압,7812-20260115-000169,자동이체,전화,직원,0,90,100,-,-,100,40,-,82.0,항상 친절하고 빠른 응대 감사드립니다.
170,산청지사,주택용전력,C550-20260115-000170,자동이체,기타,충남고객센터,10,80,90,-,100,100,100,-,80.0,항상 친절하고 빠른 응대 감사드립니다.
171,진주지사,주택용전력,5740-20260115-000171,기타단순문의등,사이버지점,한전ON,70,0,90,-,70,-,-,100,82.0,응답없음
172,함안의령지사,일반용(갑)저압,C300-20260115-000172,복지/대가족/수가구등,전화,경기북부고객센터,0,100,100,-,-,100,70,-,92.0,별다른 의견 없습니다.
